frame,timestamp,object_type,object_id,vehicle_type,plate_number,ocr_confidence,authorization,face_detected
89,3.71,person,1,,,,AUTHORIZED,False
89,3.71,vehicle,2,car,JK02DA7007,0.945,,
89,3.71,person,7,,,,UNAUTHORIZED,False
90,3.75,person,1,,,,AUTHORIZED,False
90,3.75,vehicle,2,car,JK02DA7007,0.945,,
90,3.75,person,7,,,,UNAUTHORIZED,False
91,3.79,person,1,,,,AUTHORIZED,False
91,3.79,vehicle,2,car,JK02DA7007,0.945,,
91,3.79,person,7,,,,UNAUTHORIZED,False
92,3.83,person,1,,,,AUTHORIZED,False
92,3.83,vehicle,2,car,JK02DA7007,0.945,,
92,3.83,person,7,,,,UNAUTHORIZED,False
93,3.88,person,1,,,,AUTHORIZED,False
93,3.88,vehicle,2,car,JK02DA7007,0.945,,
93,3.88,person,7,,,,UNAUTHORIZED,False
94,3.92,person,1,,,,AUTHORIZED,False
94,3.92,vehicle,2,car,JK02DA7007,0.945,,
94,3.92,person,7,,,,UNAUTHORIZED,False
95,3.96,person,1,,,,AUTHORIZED,False
95,3.96,vehicle,2,car,JK02DA7007,0.945,,
95,3.96,person,7,,,,UNAUTHORIZED,False
96,4.0,person,1,,,,AUTHORIZED,False
96,4.0,vehicle,2,car,JK02DA7007,0.945,,
96,4.0,person,7,,,,UNAUTHORIZED,False
97,4.04,person,1,,,,AUTHORIZED,False
97,4.04,vehicle,2,car,JK02DA7007,0.945,,
97,4.04,person,7,,,,UNAUTHORIZED,False
98,4.08,person,1,,,,AUTHORIZED,False
98,4.08,vehicle,2,car,JK02DA7007,0.945,,
99,4.12,person,1,,,,AUTHORIZED,False
99,4.12,vehicle,2,car,JK02DA7007,0.945,,
100,4.17,person,1,,,,AUTHORIZED,False
100,4.17,vehicle,2,car,JK02DA7007,0.945,,
101,4.21,person,1,,,,AUTHORIZED,False
101,4.21,vehicle,2,car,JK02DA7007,0.945,,
101,4.21,vehicle,13,car,,0.0,,
102,4.25,person,1,,,,AUTHORIZED,False
102,4.25,vehicle,2,car,JK02DA7007,0.945,,
103,4.29,person,1,,,,AUTHORIZED,False
103,4.29,vehicle,2,car,JK02DA7007,0.945,,
104,4.33,person,1,,,,AUTHORIZED,False
104,4.33,vehicle,2,car,JK02DA7007,0.945,,
104,4.33,vehicle,14,truck,,0.0,,
105,4.38,person,1,,,,AUTHORIZED,False
105,4.38,vehicle,2,car,JK02DA7007,0.945,,
106,4.42,person,1,,,,AUTHORIZED,False
106,4.42,vehicle,2,car,JK02DA7007,0.945,,
107,4.46,person,1,,,,AUTHORIZED,True
107,4.46,vehicle,2,car,JK02DA7007,0.945,,
108,4.5,person,1,,,,AUTHORIZED,False
108,4.5,vehicle,2,car,JK02DA7007,0.945,,
108,4.5,vehicle,16,car,JK02DA7007,0.763,,
109,4.54,person,1,,,,AUTHORIZED,False
109,4.54,vehicle,2,car,JK02DA7007,0.945,,
110,4.58,person,1,,,,AUTHORIZED,False
110,4.58,vehicle,2,car,JK02DA7007,0.945,,
111,4.62,person,1,,,,AUTHORIZED,False
111,4.62,vehicle,2,car,JK02DA7007,0.923,,
112,4.67,person,1,,,,AUTHORIZED,False
112,4.67,vehicle,2,car,JK02DA7007,0.923,,
113,4.71,person,1,,,,AUTHORIZED,False
113,4.71,vehicle,2,car,JK02DA7007,0.923,,
114,4.75,person,1,,,,AUTHORIZED,False
114,4.75,vehicle,2,car,JK02DA7007,0.923,,
115,4.79,person,1,,,,AUTHORIZED,False
115,4.79,vehicle,2,car,JK02DA7007,0.923,,
115,4.79,vehicle,16,truck,JK02DA7007,0.763,,
116,4.83,person,1,,,,AUTHORIZED,False
116,4.83,vehicle,2,car,JK02DA7007,0.923,,
116,4.83,vehicle,16,car,JK02DA7007,0.763,,
117,4.88,person,1,,,,AUTHORIZED,False
118,4.92,person,1,,,,AUTHORIZED,False
118,4.92,vehicle,2,car,JK02DA7007,0.923,,
119,4.96,person,1,,,,AUTHORIZED,False
119,4.96,vehicle,2,car,JK02DA7007,0.923,,
120,5.0,person,1,,,,AUTHORIZED,False
120,5.0,vehicle,2,car,JK02DA7007,0.923,,
121,5.04,person,1,,,,AUTHORIZED,False
121,5.04,vehicle,2,car,JK02DA7007,0.923,,
121,5.04,person,19,,,,UNAUTHORIZED,False
122,5.08,person,1,,,,AUTHORIZED,False
122,5.08,vehicle,2,car,JK02DA7007,0.923,,
122,5.08,person,19,,,,UNAUTHORIZED,False
123,5.12,person,1,,,,AUTHORIZED,True
123,5.12,vehicle,2,car,JK02DA7007,0.923,,
123,5.12,person,19,,,,UNAUTHORIZED,False
124,5.17,person,1,,,,AUTHORIZED,False
124,5.17,vehicle,2,car,JK02DA7007,0.923,,
125,5.21,person,1,,,,AUTHORIZED,True
125,5.21,vehicle,2,car,JK02DA7007,0.923,,
126,5.25,person,1,,,,AUTHORIZED,True
126,5.25,vehicle,2,car,JK02DA7007,0.923,,
126,5.25,vehicle,21,truck,,0.0,,
127,5.29,person,1,,,,AUTHORIZED,True
127,5.29,vehicle,2,car,JK02DA7007,0.923,,
128,5.33,person,1,,,,AUTHORIZED,True
128,5.33,vehicle,2,car,JK02DA7007,0.923,,
128,5.33,person,19,,,,UNAUTHORIZED,False
129,5.38,person,1,,,,AUTHORIZED,True
129,5.38,vehicle,2,car,JK02DA7007,0.923,,
129,5.38,person,19,,,,UNAUTHORIZED,False
130,5.42,person,1,,,,AUTHORIZED,True
130,5.42,vehicle,2,car,JK02DA7007,0.923,,
131,5.46,person,1,,,,AUTHORIZED,True
131,5.46,vehicle,2,car,JK02DA7007,0.923,,
131,5.46,person,19,,,,UNAUTHORIZED,False
132,5.5,person,1,,,,AUTHORIZED,True
132,5.5,vehicle,2,car,JK02DA7007,0.923,,
132,5.5,person,19,,,,UNAUTHORIZED,False
133,5.54,person,1,,,,AUTHORIZED,True
133,5.54,vehicle,2,car,JK02DA7007,0.923,,
134,5.58,person,1,,,,AUTHORIZED,True
134,5.58,vehicle,2,car,JK02DA7007,0.923,,
135,5.62,person,1,,,,AUTHORIZED,True
135,5.62,vehicle,2,car,JK02DA7007,0.923,,
136,5.67,person,1,,,,AUTHORIZED,True
136,5.67,vehicle,2,car,JK02DA7007,0.923,,
136,5.67,person,19,,,,UNAUTHORIZED,False
137,5.71,person,1,,,,AUTHORIZED,True
137,5.71,vehicle,2,car,JK02DA7007,0.923,,
137,5.71,person,19,,,,UNAUTHORIZED,False
138,5.75,person,1,,,,AUTHORIZED,True
138,5.75,vehicle,2,car,JK02DA7007,0.923,,
139,5.79,person,1,,,,AUTHORIZED,True
139,5.79,vehicle,2,car,JK02DA7007,0.923,,
139,5.79,person,19,,,,UNAUTHORIZED,False
140,5.83,person,1,,,,AUTHORIZED,True
140,5.83,vehicle,2,car,JK02DA7007,0.923,,
140,5.83,person,19,,,,UNAUTHORIZED,False
141,5.88,person,1,,,,AUTHORIZED,True
141,5.88,vehicle,2,car,JK02DA7007,0.923,,
142,5.92,person,1,,,,AUTHORIZED,True
142,5.92,vehicle,2,car,JK02DA7007,0.923,,
143,5.96,person,1,,,,AUTHORIZED,True
143,5.96,vehicle,2,car,JK02DA7007,0.923,,
143,5.96,person,22,,,,UNAUTHORIZED,False
144,6.0,person,1,,,,AUTHORIZED,True
144,6.0,vehicle,2,car,JK02DA7007,0.923,,
145,6.04,person,1,,,,AUTHORIZED,True
145,6.04,vehicle,2,car,JK02DA7007,0.923,,
145,6.04,person,19,,,,UNAUTHORIZED,False
146,6.08,person,1,,,,AUTHORIZED,False
146,6.08,vehicle,2,car,JK02DA7007,0.923,,
147,6.12,person,1,,,,AUTHORIZED,True
147,6.12,vehicle,2,car,JK02DA7007,0.923,,
147,6.12,person,19,,,,UNAUTHORIZED,False
148,6.17,person,1,,,,AUTHORIZED,True
148,6.17,vehicle,2,car,JK02DA7007,0.923,,
149,6.21,person,1,,,,AUTHORIZED,False
149,6.21,vehicle,2,car,JK02DA7007,0.923,,
149,6.21,person,19,,,,UNAUTHORIZED,False
150,6.25,person,1,,,,AUTHORIZED,True
150,6.25,vehicle,2,car,JK02DA7007,0.923,,
150,6.25,person,19,,,,UNAUTHORIZED,False
151,6.29,person,1,,,,AUTHORIZED,True
151,6.29,vehicle,2,car,JK02DA7007,0.923,,
151,6.29,person,19,,,,UNAUTHORIZED,False
152,6.33,person,1,,,,AUTHORIZED,True
152,6.33,vehicle,2,car,JK02DA7007,0.923,,
152,6.33,person,19,,,,UNAUTHORIZED,False
153,6.38,person,1,,,,AUTHORIZED,True
153,6.38,vehicle,2,car,JK02DA7007,0.923,,
153,6.38,person,19,,,,UNAUTHORIZED,False
154,6.42,person,1,,,,AUTHORIZED,True
154,6.42,vehicle,2,car,JK02DA7007,0.923,,
154,6.42,person,19,,,,UNAUTHORIZED,False
155,6.46,person,1,,,,AUTHORIZED,True
155,6.46,person,19,,,,UNAUTHORIZED,False
156,6.5,person,1,,,,AUTHORIZED,True
156,6.5,person,19,,,,UNAUTHORIZED,False
156,6.5,vehicle,2,car,JK02DA7007,0.923,,
157,6.54,person,1,,,,AUTHORIZED,True
157,6.54,person,19,,,,UNAUTHORIZED,False
157,6.54,vehicle,2,car,JK02DA7007,0.923,,
158,6.58,person,1,,,,AUTHORIZED,True
158,6.58,person,19,,,,UNAUTHORIZED,False
158,6.58,vehicle,2,car,JK02DA7007,0.923,,
159,6.62,person,1,,,,AUTHORIZED,True
159,6.62,person,19,,,,UNAUTHORIZED,False
159,6.62,vehicle,2,car,JK02DA7007,0.923,,
160,6.67,person,1,,,,AUTHORIZED,True
160,6.67,person,19,,,,UNAUTHORIZED,False
160,6.67,vehicle,2,car,JK02DA7007,0.923,,
161,6.71,person,1,,,,AUTHORIZED,True
